game_key,Project Name,Env Created,Engagement Type,Engagement Area Position X,Engagement Area Position Y,Engagement Area Size X,Engagement Area Size Y,Perceived Engagement Area Position X,Perceived Engagement Area Position Y,Perceived Engagement Area Size X,Perceived Engagement Area Size Y,Triggerzone Position X,Triggerzone Position Y,Triggerzone Size X,Triggerzone Size Y,Clickthrough,Clickthrough Area Position X,Clickthrough Area Position Y,Clickthrough Area Size X,Clickthrough Area Size Y,Perceived Clickthrough Area Position X,Perceived Clickthrough Area Position Y,Perceived Clickthrough Area Size X,Perceived Clickthrough Area Size Y,Adunit Size X,Adunit Size Y,Count,engagement,click_through
b9ed61a4630c5430ee59bdae06a3bc9c,Lego-Build-police-imported,testing,"parallax-bg-parallex,shake,click",-500.0,0.0,1614.0,903.0,,,,,,,,,True,0.0,0.0,223.0,70.0,187.0,764.0,223.0,70.0,600.0,900.0,,,
bc7043c127dec140796e4bd469b5d9d2/44077b4defaac1142977,Lego-Build-police-imported1,production,"parallax-bg-parallex,shake,click",-500.0,0.0,1614.0,903.0,,,,,,,,,True,0.0,0.0,223.0,70.0,187.0,764.0,223.0,70.0,600.0,900.0,,,
c446a62902abcc28d904c46fd1c253d2,Adludio-Valentines-Fullscreen-Adunit-imported,staging,tap-and-hold,0.0,0.0,121.0,121.0,238.0,439.0,121.0,121.0,,,,,,,,,,,,,,600.0,900.0,,,
d25102524a75883efdfe3087b6ffc74a/6522bc6442773f8fc0d9,keyframe,testing,tap,0.0,0.0,320.0,480.0,,,,,,,,,,,,,,,,,,320.0,480.0,,,
d342d09fecb5ab0d567bf0ece9d882ef,num1,staging,,,,,,,,,,,,,,,,,,,,,,,,,,,
e0cb251d7ef631c3109f165a74163c13/7e0081f51a3af8e56792,yesm9,testing,click,,,,,,,,,,,,,True,0.0,0.0,514.0,134.0,278.0,1353.0,514.0,134.0,1080.0,1920.0,,,
fdf529326752b2bae5e51f829f2c90d3,newoneyacunt-copy,production,,,,,,,,,,,,,,,,,,,,,,,,,,,
0f893fb0b3004355bdb5956045c8b3f6/1add933560fdbdc66904,Huawei HID London Mobile Int,staging,click,,,,,,,,,,,,,True,49.0,750.0,500.0,100.0,49.0,750.0,500.0,100.0,600.0,900.0,,,
1286386f4ca6ddcd21a922d672698ee7,YBS Retargeting MPU,staging,,,,,,,,,,,,,,,,,,,,,,,,,,,
2673db7aa7bb08105cd79216c3d527d2/b1e33052aaaa3c975b65,YBS Retargeting 320x50 colour amends 2,staging,click,,,,,,,,,,,,,True,0.0,0.0,320.0,50.0,,,,,320.0,50.0,,,
35a672284b212e14e27fa662a7dbf3de,YBS retargeting MPU amends 2,staging,,,,,,,,,,,,,,,,,,,,,,,,,,,
50699b9fa92922fec57f7c9656c7541f,YBS Retargeting 320x50,staging,,,,,,,,,,,,,,,,,,,,,,,,,,,
535abac0caee42efda7a3412b48467fe,YBS Retargeting 320x50 amends,staging,,,,,,,,,,,,,,,,,,,,,,,,,,,
6673e1105689c55e32783c186d12e5c6,YBS retargeting MPU amends 3,staging,,,,,,,,,,,,,,,,,,,,,,,,,,,
67b5e81a9f711f4b696302c9d348ce19/54bfa4d71b75e4ade70c,YBS Retargeting 320x50 colour amends,staging,,,,,,,,,,,,,,,,,,,,,,,,,,,
7b081b22a5daf3d477f30a1bad3e6e90/296a4d3e16f486d6a3e6,Huawei HID London Leaderboard,staging,click,,,,,,,,,,,,,True,571.0,20.0,147.0,50.0,571.0,20.0,147.0,50.0,728.0,90.0,,,
b26b23d8a016a75d0620f34c307486c5,YBS Retargeting MPU amends 4,staging,,,,,,,,,,,,,,,,,,,,,,,,,,,
d497698ad96fb54d12420644c798a988,YBS Retargeting MPU amends,staging,,,,,,,,,,,,,,,,,,,,,,,,,,,
e62941856df7b04a4be6ccd26e74b8a5/1836f950aa94be40e49f,Huawei HID London MPU,staging,click,,,,,,,,,,,,,True,57.0,190.0,187.0,50.0,57.0,190.0,187.0,50.0,300.0,250.0,,,
f804f9c47aad9530f3887f2b6974ebfd,YBS retargeting 320x50 amends 2,staging,,,,,,,,,,,,,,,,,,,,,,,,,,,
01bce4e17c4aaa60b0c72b095c8eb113/0a230660b8624ef190c7,shorttolong2,development,tap,0.0,0.0,322.0,482.0,-1.0,-1.0,322.0,482.0,,,,,,,,,,,,,,320.0,480.0,,,
01e3147ce96e26e3f14572b9ebceaf5f,thmmmmmmmm,development,tap,,,,,,,,,,,,,,,,,,,,,,600.0,900.0,,,
04525d1eafea82335ce47e709d304caa/547ddd7299693bc81d3f,'i,testing,,,,,,,,,,,,,,,,,,,,,,,,,,,
05011ec1978a8370901c2b92d559958a/cce430c9d41d498a83b7,CMPB MooMoney -imported-imported,development,"click,drag,collide",-39.0,265.0,680.0,700.0,,,,,-2.0,-425.0,600.0,900.0,True,0.0,0.0,359.0,81.0,121.0,739.0,359.0,81.0,600.0,900.0,,,
061859b684f96d6c0a9ec9a87c30bd11/c3677dd5a81313883b38,testathat0,testing,,,,,,,,,,,,,,,,,,,,,,,,,,,
07fac0a7cdb7bc45ba78f20234fc55fa,2/3/4/5/66666/6egrh,development,"click,tap-and-hold,parallax-end-title",124.0,569.0,366.0,142.0,,,,,,,,,True,,,,,110.0,801.0,381.0,81.0,600.0,900.0,,,
09698ab572e2795dca5ff3c4c6e404d1,CMPB MooMoney -imported-imported-copy,development,"click,drag,collide",-39.0,265.0,680.0,700.0,,,,,-2.0,-425.0,600.0,900.0,True,0.0,0.0,359.0,81.0,121.0,739.0,359.0,81.0,600.0,900.0,,,
0b501fe21301aa7beb24dbcb0f03f083,rrht-imported,development,,,,,,,,,,,,,,,,,,,,,,,,,,,
0cceaa7ed084180d6f4e794ee7baade1,66^^66^^66^^^66^^,development,,,,,,,,,,,,,,,,,,,,,,,,,,,
0dc76ba254ec1bd6b2e53f922c0c4bc5,rrht-imported-copy,development,,,,,,,,,,,,,,,,,,,,,,,,,,,
149e0a0c48ef0aebdb5d811dffaae7bd/141e72ae4f63160f8de0,fgyu,development,paint,0.0,0.0,322.0,482.0,,,,,,,,,,,,,,,,,,320.0,480.0,,,
15429e41a253b679f9cb57ef5eabd3c4,Lionsgateafgaegegesgsswbgdjfyawfkuhwufhweufhwiufhwuifhwiufhwdiiuwhfiuhfuiwhfuihfwiuehfhfiw,development,"click,tap-and-hold,parallax-end-title",124.0,569.0,366.0,142.0,,,,,,,,,True,0.0,0.0,381.0,81.0,4.0,771.0,381.0,81.0,600.0,900.0,,,
1785ff2be146b4ae41bfeb4faac97008/e1cea413c34eb779a1d2,Lionsgate – Hellboy – FSI – Date 3-23 – 4-5-imported-copy-copy,development,"click,tap-and-hold,parallax-end-title",124.0,569.0,366.0,142.0,,,,,,,,,True,,,,,110.0,801.0,381.0,81.0,600.0,900.0,,,
1994687904ca16d38bd8f927ad22b8b5,build-adidas ultraboost-imported,development,"click,drag,collide",65.0,244.0,496.0,656.0,,,,,0.0,0.0,600.0,900.0,True,0.0,0.0,350.0,75.0,128.0,807.0,350.0,75.0,600.0,900.0,,,
1de466e6368f2826939c282aa844725c,mmmmmmmmm,development,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f28de7db0e3314bd186d54ea7208bd8,((*(())((()(()()()()()()(((()(,development,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f85b2e2ee11f136bf8e40246e4ce9c5,tttttttfffffff,development,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f8bcb299bf7e19b0777e86030cb8d8e,cddcdcddd,development,,,,,,,,,,,,,,,,,,,,,,,,,,,
25c29e04bdf1c2725030c6417f726cda/0ae54adfe6f62cbd83fb,feeeeeeeeee,testing,"click,tap-and-hold",0.0,0.0,322.0,482.0,,,,,,,,,True,0.0,0.0,320.0,480.0,0.0,0.0,320.0,480.0,320.0,480.0,,,
27b13b211fe4d0a7a6cfb708edefd62f,zzz1111zzzzzzzzzz,staging,,,,,,,,,,,,,,,,,,,,,,,,,,,
287f8ae2c77973fa10cd828533b8a5c8,dfhdf-imported-copy-copy-copy,testing,,,,,,,,,,,,,,,,,,,,,,,,,,,
